dataset,noise_level,sampling_prob,avg_min,std_min,avg_maj,std_maj
abalone,0.1,direct,3.5261,2.3947,1.1841,0.4562
creditcard,0.1,direct,5.2322,4.7733,1.3006,1.0591
ecoli,0.1,direct,2.7621,1.4664,1.5188,0.6625
kc,0.1,direct,2.7379,1.5148,1.1386,0.6467
mammography,0.1,direct,7.0446,6.1043,1.2781,1.6091
oil,0.1,direct,2.7928,0.9875,1.2676,0.6997
pc,0.1,direct,4.7393,2.7285,0.6303,0.4564
satimage,0.1,direct,2.3802,1.3826,1.5709,0.46
spectrometer,0.1,direct,5.5806,1.6686,1.8061,1.2974
us_crime,0.1,direct,2.0995,0.7427,1.2503,0.346
wine_quality,0.1,direct,4.5005,5.5854,1.1655,0.7478
abalone,0.1,inverse,15.112,35.7508,1.4844,0.6184
creditcard,0.1,inverse,515.4881,1090.4837,21.4304,83.1461
ecoli,0.1,inverse,6.3928,3.0725,2.228,0.7036
kc,0.1,inverse,61.1093,75.2017,2.6206,2.7066
mammography,0.1,inverse,93.662,137.3195,10.9335,13.6529
oil,0.1,inverse,5.6411,3.2773,1.8025,0.8935
pc,0.1,inverse,2329.9129,4651.7438,1.2582,1.1541
satimage,0.1,inverse,6.7095,5.8401,1.6657,0.4867
spectrometer,0.1,inverse,6.1155,2.6014,2.9883,1.3919
us_crime,0.1,inverse,2.5755,0.6768,1.3632,0.3783
wine_quality,0.1,inverse,32.7802,74.6404,5.2754,5.9389
abalone,0.2,direct,3.0387,2.2797,1.1739,0.4696
creditcard,0.2,direct,5.4729,6.7005,1.3001,1.0289
ecoli,0.2,direct,5.0989,2.9943,1.4589,0.6535
kc,0.2,direct,2.6815,1.7298,1.1821,0.6562
mammography,0.2,direct,5.6421,3.767,1.2763,1.4929
oil,0.2,direct,3.0338,0.7749,1.2575,0.6963
pc,0.2,direct,4.6462,1.7884,0.6088,0.3938
satimage,0.2,direct,2.5518,1.5152,1.5672,0.4337
spectrometer,0.2,direct,4.2192,0.9377,1.8643,1.0455
us_crime,0.2,direct,2.3555,0.7606,1.2284,0.3307
wine_quality,0.2,direct,2.9006,1.5163,1.1601,0.8359
abalone,0.2,inverse,16.7002,41.668,1.4345,0.6275
creditcard,0.2,inverse,481.7037,1025.5174,22.007,85.2685
ecoli,0.2,inverse,9.2244,2.7586,2.1133,0.8724
kc,0.2,inverse,60.8359,76.2782,2.8335,3.0861
mammography,0.2,inverse,199.9797,456.8414,10.7893,13.7622
oil,0.2,inverse,3.6007,1.2664,1.8829,1.0087
pc,0.2,inverse,3010.2829,6223.2195,1.2941,1.1858
satimage,0.2,inverse,6.8034,5.217,1.6543,0.4689
spectrometer,0.2,inverse,4.5481,1.7809,2.957,1.4029
us_crime,0.2,inverse,2.7375,0.9482,1.3497,0.3652
wine_quality,0.2,inverse,35.3873,64.2304,5.2546,6.0023
abalone,0.3,direct,3.0562,1.995,1.1917,0.4772
creditcard,0.3,direct,5.3905,5.5069,1.296,1.0026
ecoli,0.3,direct,3.3124,3.1554,1.5088,0.7036
kc,0.3,direct,2.65,1.9302,1.207,0.7415
mammography,0.3,direct,7.2072,9.0856,1.2912,1.5475
oil,0.3,direct,3.1684,0.8988,1.2659,0.7096
pc,0.3,direct,5.3311,4.0783,0.6072,0.4058
satimage,0.3,direct,2.419,1.2338,1.571,0.4254
spectrometer,0.3,direct,4.8372,1.8689,1.8875,1.1732
us_crime,0.3,direct,2.1851,0.6526,1.2266,0.3406
wine_quality,0.3,direct,3.5724,3.0141,1.2012,1.064
abalone,0.3,inverse,10.0899,26.9695,1.4482,0.6343
creditcard,0.3,inverse,492.2973,1062.434,21.7056,84.4001
ecoli,0.3,inverse,10.9484,2.3836,2.0876,0.8264
kc,0.3,inverse,54.8299,78.4644,2.7288,3.011
mammography,0.3,inverse,129.2717,304.4402,11.1473,14.0658
oil,0.3,inverse,3.2542,0.8187,1.9037,1.0122
pc,0.3,inverse,3409.6804,5861.7137,1.2646,1.1668
satimage,0.3,inverse,6.4315,5.2099,1.6873,0.5029
spectrometer,0.3,inverse,7.2956,3.6513,3.19,1.5573
us_crime,0.3,inverse,2.553,0.8037,1.3558,0.3793
wine_quality,0.3,inverse,43.3575,74.0816,5.2831,5.9718
abalone,0.4,direct,2.8268,1.6647,1.2144,0.507
creditcard,0.4,direct,5.385,5.7557,1.2943,1.0108
ecoli,0.4,direct,5.5122,3.8118,1.5226,0.6709
kc,0.4,direct,2.5327,2.4081,1.2296,0.682
mammography,0.4,direct,5.7436,4.7836,1.3023,1.7264
oil,0.4,direct,3.2285,1.1355,1.2982,0.7044
pc,0.4,direct,5.8078,4.2752,0.604,0.3612
satimage,0.4,direct,2.6865,2.2556,1.5715,0.4334
spectrometer,0.4,direct,4.847,2.5134,1.7569,1.0125
us_crime,0.4,direct,2.23,0.9177,1.2225,0.3483
wine_quality,0.4,direct,3.7398,4.0672,1.2208,1.067
abalone,0.4,inverse,11.1711,30.3713,1.4547,0.6039
creditcard,0.4,inverse,522.2599,1095.6019,21.5043,83.5162
ecoli,0.4,inverse,10.4495,3.8964,2.1655,0.9244
kc,0.4,inverse,59.5114,78.8383,2.8737,3.1691
mammography,0.4,inverse,197.2327,411.9093,10.9318,13.8284
oil,0.4,inverse,3.8071,1.2261,1.8706,0.8879
pc,0.4,inverse,3320.0587,6415.107,1.2756,1.1649
satimage,0.4,inverse,6.8409,5.4635,1.6859,0.5028
spectrometer,0.4,inverse,6.3081,2.3644,3.0546,1.536
us_crime,0.4,inverse,2.7442,0.9828,1.3541,0.3854
wine_quality,0.4,inverse,51.4359,71.458,5.3279,6.1216
